Code,ISIN,Name,GroupCode,CapSize,IndLarge,IndMedium,IndSmall,MarketCap
200350,KR7200350007,아티스트스튜디오,,,S,T310,1500,1807
200470,KR7200470003,에이팩트,,,S,T310,910,925
200670,KR7200670008,휴메딕스,,,S,T210,910,6266
200710,KR7200710002,에이디테크놀로지,,,S,T210,910,2295
200780,KR7200780005,비씨월드제약,,,S,T310,910,446
201490,KR7201490000,미투온,,,S,T300,0,1337
203400,KR7203400007,에이비온,,,S,T210,600,1313
203450,KR7203450002,유니온바이오메트릭스,,,S,T310,910,444
203650,KR7203650007,드림시큐리티,,,S,T200,0,1925
203690,KR7203690003,아크솔루션스,,,S,T310,910,740
204020,KR7204020002,그리티,,,S,T310,910,723
204270,KR7204270003,제이앤티씨,,,S,T110,910,11066
204610,KR7204610000,티쓰리,,,S,T300,0,1254
204620,KR7204620009,글로벌텍스프리,,,S,T210,1400,4575
204630,KR7204630008,스튜디오산타클로스,,,S,T310,1500,236
204840,KR7204840003,지엘팜텍,,,S,T310,1100,989
205100,KR7205100001,엑셈,,,S,T300,0,1579
205470,KR7205470008,휴마시스,,,S,T210,910,1965
205500,KR7205500002,넥써쓰,,,S,T300,0,1952
206400,KR7206400004,베노티앤알,,,S,T310,1000,637
206560,KR7206560005,덱스터,,,S,T210,1500,1905
206640,KR7206640005,바디텍메드,,,S,T210,910,3555
206650,KR7206650004,유바이오로직스,,,S,T210,910,4537
207760,KR7207760000,미스터블루,,,S,T300,0,1451
208140,KR7208140004,정다운,,,S,T310,910,882
208340,KR7208340000,파멥신,,,S,T210,910,2337
208350,KR7208350009,지란지교시큐리티,,,S,T300,0,255
208370,KR7208370007,셀바스헬스케어,,,S,T310,910,1247
208640,KR7208640003,썸에이지,,,S,T300,0,380
208710,KR7208710004,포톤,,,S,T310,910,302
208860,KR7208860007,엔지스테크널러지,,,S,T300,0,748
209640,KR7209640002,와이제이링크,,,S,T310,910,1173
210120,KR7210120002,캔버스엔,,,S,T310,1500,1231
211050,KR7211050000,인카금융서비스,,,S,T210,1400,5800
211270,KR7211270004,AP위성,,,S,T210,910,2008
212560,KR7212560007,네오오토,,,S,T310,910,645
212710,KR7212710008,아이에스티이,,,S,T010,910,854
213420,KR7213420003,덕산네오룩스,,,S,T110,910,8343
214150,KR7214150005,클래시스,,,S,T110,910,39696
214180,KR7214180002,헥토이노베이션,,,S,T300,0,2089
214260,KR7214260002,라파스,,,S,T310,910,1557
214270,KR7214270001,FSN,,,S,T300,0,866
214370,KR7214370009,케어젠,,,S,T110,910,17188
214430,KR7214430001,아이쓰리시스템,,,S,T210,910,6282
214450,KR7214450009,파마리서치,,,S,T110,910,48133
214610,KR7214610008,더바이오메드,,,S,T310,910,284
214680,KR7214680001,디알텍,,,S,T310,910,1432
215000,KR7215000001,골프존,,,S,T200,0,4160
215090,KR7215090002,솔디펜스,,,S,T310,910,1050
215100,KR7215100009,로보로보,,,S,T310,910,952
215200,KR7215200007,메가스터디교육,,,S,T210,600,5503
215360,KR7215360009,우리산업,,,S,T310,910,887
215380,KR7215380007,우정바이오,,,S,T310,600,314
215480,KR7215480005,토박스코리아,,,S,T310,1100,221
215600,KR7215600008,신라젠,,,S,T210,600,4447
215790,KR7215790007,이노인스트루먼트,,,S,T310,910,184
216050,KR7216050005,인크로스,,,S,T310,600,1068
216080,KR7216080002,제테마,,,S,T210,910,2309
217190,KR7217190008,제너셈,,,S,T310,910,617
217270,KR7217270008,넵튠,,,S,T200,0,3932
217330,KR7217330000,싸이토젠,,,S,T310,600,908
217480,KR7217480003,에스디생명공학,,,S,T310,910,547
217500,KR7217500008,러셀,,,S,T310,910,571
217620,KR7217620004,선샤인푸드,,,S,T310,600,268
217730,KR7217730001,강스템바이오텍,,,S,T310,910,889
217820,KR7217820000,원익피앤이,,,S,T310,910,1316
218150,KR7218150001,미래생명자원,,,S,T310,910,815
218410,KR7218410009,RFHIC,,,S,T210,910,6170
219130,KR7219130002,타이거일렉,,,S,T310,910,841
219420,KR7219420007,링크제니시스,,,S,T300,0,597
219550,KR7219550001,디와이디,,,S,T310,1100,748
219750,KR7219750007,한국비티비,,,S,T310,910,812
220100,KR7220100002,퓨쳐켐,,,S,T210,910,3578
220180,KR7220180004,핸디소프트,,,S,T300,0,499
220260,KR7220260004,켐트로스,,,S,T310,910,1249
221800,KR7221800006,유투바이오,,,S,T310,600,343
221840,KR7221840002,하이즈항공,,,S,T310,910,347
221980,KR7221980006,케이디켐,,,S,T310,910,462
222040,KR7222040008,코스맥스엔비티,,,S,T310,910,1056
222080,KR7222080004,씨아이에스,,,S,T110,910,5323
222110,KR7222110009,팬젠,,,S,T310,910,854
222160,KR7222160004,NPX,,,S,T310,910,795
222420,KR7222420002,쎄노텍,,,S,T310,910,376
222800,KR7222800005,심텍,,,S,T210,910,7549
222810,KR7222810004,세토피아,,,S,T310,910,817
222980,KR7222980005,한국맥널티,,,S,T310,910,420
223250,KR7223250002,드림씨아이에스,,,S,T310,600,788
223310,KR7223310004,딥마인드,,,S,T310,1100,609
224060,KR7224060004,더코디,,,S,T310,910,171
224110,KR7224110007,에이텍모빌리티,,,S,T310,910,690
225190,KR7225190008,LK삼양,,,S,T310,910,1352
225220,KR7225220003,제놀루션,,,S,T310,910,470
225430,KR7225430008,케이엠제약,,,S,T310,910,171
225530,KR7225530005,보광산업,,,S,T310,910,1409
225570,KR7225570001,넥슨게임즈,,,S,T100,0,10504
225590,KR7225590009,패션플랫폼,,,S,T310,910,259
226330,KR7226330009,신테카바이오,,,S,T300,0,1164
226340,KR7226340008,본느,,,S,T310,910,405
226360,KR7226360006,KH 건설,,,S,T310,1000,676
226400,KR7226400000,오스테오닉,,,S,T310,910,1353
226440,KR7226440006,한송네오텍,,,S,T310,910,24
226590,KR7226590008,엠디바이스,,,S,T010,910,1289
226950,KR7226950004,올릭스,,,S,T210,600,9017
227100,KR7227100005,퀀텀온,,,S,T300,0,147
227610,KR7227610003,아우딘퓨쳐스,,,S,T310,910,385
227950,KR7227950003,엔투텍,,,S,T310,910,648
228340,KR7228340006,동양파일,,,S,T310,910,402
228670,KR7228670006,레이,,,S,T310,910,1270
228760,KR7228760005,지노믹트리,,,S,T210,600,3064
228850,KR7228850004,레이언스,,,S,T310,910,1144
229000,KR7229000005,젠큐릭스,,,S,T310,910,277
230240,KR7230240004,에치에프알,,,S,T210,910,2492
230360,KR7230360000,에코마케팅,,,S,T210,600,2690
230980,KR7230980005,비유테크놀러지,,,S,T300,0,213
232140,KR7232140004,와이씨,,,S,T110,910,8106
232680,KR7232680009,라온테크,,,S,T310,910,956
232830,KR7232830000,아이티센피엔에스,,,S,T300,0,334
234100,KR7234100006,폴라리스세원,,,S,T310,910,691
234300,KR7234300002,에스트래픽,,,S,T300,0,1155
234340,KR7234340008,헥토파이낸셜,,,S,T300,0,2703
234690,KR7234690006,녹십자웰빙,,,S,T310,910,1775
234920,KR7234920007,자이글,,,S,T310,910,577
235980,KR7235980000,메드팩토,,,S,T310,600,1293
